Age,Dribbling / Reflexes,Passing / Kicking,Shooting / Handling,International reputation,Total mentality,Shot power,Total power,Ball control,Finishing,Log Market Value
22,67,63,47,1,305,60,335,72,44,17.014183675514957
19,76,71,70,1,99,53,218,18,8,15.520258650202699
21,77,71,63,1,355,62,336,77,65,17.073607095985757
18,67,67,53,1,295,60,327,71,51,15.068273526459642
19,82,79,66,3,367,73,371,85,62,17.776323727561852
25,77,62,61,1,309,59,317,73,60,14.557447902693651
19,67,65,61,1,330,62,335,67,58,14.946912669455374
21,76,64,67,1,278,69,300,73,70,15.761420707019587
19,79,70,72,1,284,77,316,80,72,16.41820024340866
20,69,57,70,1,268,73,333,70,74,15.068273526459642
20,62,61,40,1,277,47,316,64,28,14.808762330974558
21,90,74,79,2,306,76,375,89,84,18.50685844019342
21,84,77,77,2,324,78,358,87,78,17.875953568510692
19,84,79,75,3,384,78,395,84,77,18.21611357821109
22,64,57,48,1,284,53,298,61,50,14.346138809026444
23,87,74,77,1,303,80,371,86,80,18.012712505626084
18,68,62,31,1,275,45,299,73,28,16.835935444108635
26,84,77,69,2,355,81,373,83,62,16.835935444108635
28,66,64,66,1,303,71,338,67,64,13.815510557964274
23,62,55,32,1,282,49,321,68,26,16.811242831518264
23,77,71,82,1,361,86,415,76,83,17.934547732776746
20,79,69,76,1,301,76,378,77,77,17.24949776244942
21,78,77,72,1,363,74,380,80,75,17.14771506813948
21,77,65,78,1,330,83,402,78,82,17.576710673657836
23,84,71,76,1,301,79,367,83,80,17.599700191882537
20,74,68,63,1,346,72,373,74,58,16.90655301132259
19,76,65,76,1,292,76,365,76,78,16.300417207752275
21,84,74,56,1,343,53,319,81,62,17.64415195445337
24,86,80,70,2,386,80,383,85,65,17.676240269004868
21,80,65,92,4,382,94,430,82,95,18.988831434337627
21,85,77,80,1,313,76,362,85,86,17.884537312202085
17,77,76,66,1,304,68,301,76,66,15.761420707019587
18,73,63,42,1,279,59,292,75,36,15.03928598958639
25,63,57,33,2,297,51,333,66,23,17.09265529095645
17,65,53,67,1,274,71,337,67,71,14.914122846632385
17,79,57,75,1,281,77,351,78,79,16.64872390202049
16,73,69,62,1,318,69,337,75,60,15.363073066680286
24,84,78,86,3,357,93,399,84,86,18.112795964183064
29,69,62,77,2,346,84,399,79,77,16.67771143889374
19,82,74,70,1,361,69,341,83,73,17.23323724157764
19,67,52,71,1,290,74,355,66,73,15.319587954740548
22,77,67,76,1,321,75,390,76,80,17.182806387950748
20,74,69,54,2,352,76,383,76,42,17.840862248699423
18,73,61,63,1,266,61,274,65,67,15.201804919084164
23,80,65,83,2,337,80,410,81,90,18.22830885130491
22,78,78,69,2,375,78,391,80,65,17.795192211866237
21,79,68,66,1,286,69,314,79,66,16.34123920227253
19,67,67,62,1,304,79,383,68,58,15.520258650202699
18,55,51,31,1,254,47,284,67,23,15.226497531674536
18,78,75,60,1,340,66,339,79,52,16.11809565095832
23,82,83,80,1,385,89,407,85,76,18.440483371248543
23,80,81,79,1,368,78,374,82,78,17.216707939626428
20,76,62,70,1,251,70,321,74,74,15.687312734865866
21,78,78,63,1,340,76,345,81,52,16.38045991542581
18,75,71,48,1,291,53,275,77,51,16.860032995687696
17,71,64,43,1,287,46,261,71,44,15.150511624696614
18,72,66,53,1,321,55,321,69,53,15.955576721460545
21,84,73,75,1,286,73,332,84,79,16.64872390202049
20,83,78,76,1,338,78,385,85,76,17.466168799258014
19,86,82,73,2,336,67,323,88,78,18.178609182752638
23,92,80,89,4,361,88,410,91,93,19.06516275253103
24,84,80,72,2,392,77,380,85,70,17.858561825798823
21,77,67,72,1,277,70,307,74,76,16.34123920227253
18,76,71,62,1,311,63,321,74,63,15.27412558066379
16,64,58,50,1,272,57,294,64,48,13.560618308335483
25,85,82,76,3,404,77,401,87,73,18.078190435005588
21,79,83,75,2,393,77,377,83,71,17.49181122987135
22,67,64,43,2,324,61,327,68,39,17.4264284706085
22,69,68,50,1,323,66,343,74,43,17.312018119430753
17,71,60,68,1,243,79,326,71,65,14.77102200299171
22,80,77,71,1,356,75,351,85,73,17.16541464523888
22,79,81,73,1,382,79,391,83,69,17.840862248699423
22,87,75,73,2,319,73,325,85,80,17.934547732776746
18,82,72,67,1,281,76,298,79,64,16.11809565095832
23,61,65,51,1,323,61,343,66,56,17.7667542765457
20,61,61,36,1,311,67,321,73,23,17.399029496420383
37,82,75,90,5,349,92,419,86,90,17.111347423968603
35,94,90,89,5,346,86,383,93,90,17.80449460452855
36,77,71,83,3,335,86,382,84,87,16.34123920227253
22,72,72,53,2,330,65,358,77,49,17.054189010128656
20,78,59,72,1,253,74,357,77,73,16.06680235657077
22,82,76,70,1,282,71,319,83,71,17.111347423968603
21,68,58,39,1,279,49,294,70,42,17.19990082131005
21,72,67,78,1,365,77,393,74,81,16.64872390202049
22,81,68,74,1,281,78,363,81,76,16.64872390202049
17,84,77,64,1,371,56,335,83,68,17.588271496058912
29,85,85,80,4,388,90,406,87,74,17.529082624668582
20,79,74,58,1,345,80,364,79,45,17.80449460452855
17,72,69,44,1,287,56,318,72,37,15.150511624696614
31,87,84,86,4,386,84,412,88,87,17.86729550576758
23,86,71,73,1,284,74,303,84,73,17.281246460764002
23,74,68,45,2,313,48,334,76,47,17.901486870515857
19,81,75,64,1,307,63,281,79,64,16.951004773893423
22,83,76,81,1,363,84,382,84,82,17.399029496420383
21,80,76,74,1,338,77,377,82,73,16.972510979114386
21,77,67,47,2,326,58,352,78,41,17.4264284706085
19,82,72,77,2,295,74,332,80,82,17.45309671769066
18,80,63,69,1,280,74,340,78,70,16.11809565095832
17,75,63,73,1,276,74,314,75,73,15.27412558066379
24,78,78,69,2,363,70,353,82,63,16.90655301132259
23,71,72,35,1,326,49,324,76,26,17.86729550576758
24,84,80,81,1,379,78,341,84,84,17.64415195445337
22,78,71,80,2,326,79,399,79,84,17.45309671769066
21,79,77,72,1,316,76,292,78,72,16.523560759066484
20,82,68,71,1,281,73,349,81,72,16.951004773893423
19,76,68,63,1,311,71,346,78,64,16.64872390202049
19,73,69,50,1,317,56,313,73,50,16.556350581889475
17,76,64,66,1,240,72,308,76,67,15.201804919084164
34,87,83,88,4,366,87,411,91,91,17.974393641323946
27,84,87,72,4,383,78,402,85,68,18.474221510880394
25,77,75,71,1,347,72,374,84,70,16.64872390202049
21,74,68,53,1,321,49,337,76,61,17.216707939626428
20,51,50,25,1,251,40,288,60,20,15.955576721460545
19,77,66,68,1,320,72,342,74,67,15.520258650202699
19,90,75,73,2,336,71,330,88,76,18.326370064481125
21,81,74,79,1,86,56,235,22,9,16.951004773893423
19,87,81,69,2,352,68,362,88,72,18.46469762936914
25,85,73,72,1,333,69,336,84,76,16.951004773893423
19,64,59,34,1,278,45,306,68,26,15.250595083253597
31,86,93,88,4,405,92,409,90,85,18.49300140553199
25,82,72,69,1,387,81,397,84,68,17.1296965626368
24,85,71,83,3,376,80,409,86,87,18.12630968334979
24,81,76,72,3,363,83,394,79,69,18.146243898250606
21,81,82,82,2,310,87,384,83,77,17.541203985200926
20,74,73,68,1,108,55,205,20,5,15.201804919084164
20,87,79,80,2,383,77,356,87,83,18.197537192638155
30,93,85,83,5,367,79,353,94,83,18.41566820212882
23,83,79,79,3,328,76,375,85,81,17.86729550576758
21,82,75,73,1,304,70,309,82,76,17.385043254445645
24,76,63,72,1,306,73,380,76,74,15.955576721460545
21,77,74,70,1,367,72,347,75,67,16.012735135300492
22,79,66,85,2,328,84,404,85,88,18.275654971902107
18,78,72,66,1,324,68,313,78,67,16.67771143889374
23,85,87,77,3,361,80,341,87,76,18.165788494323575
24,88,83,81,3,360,79,358,88,86,18.358805340234277
23,82,83,80,3,357,81,360,83,79,17.541203985200926
22,87,80,80,2,345,80,374,87,79,17.893048001869992
23,84,78,82,2,327,86,397,85,83,17.831893578716663
22,81,76,73,1,373,83,382,83,68,17.64415195445337
19,82,74,73,2,295,78,368,79,71,17.23323724157764
21,79,80,72,1,391,83,395,81,64,17.7667542765457
22,65,63,37,2,307,65,346,72,24,17.73748389424559
22,71,59,32,1,279,43,312,75,27,16.90655301132259
19,72,66,56,1,322,57,323,73,60,15.955576721460545
20,78,66,63,1,270,69,291,74,60,15.520258650202699
19,71,67,43,1,304,55,320,73,41,16.860032995687696
21,67,59,43,1,290,48,320,71,37,16.90655301132259
31,86,81,78,4,346,82,348,86,76,17.034386382832476
28,84,85,73,3,375,80,384,86,69,18.09217667698033
